face,count,rating_mean,rating_sd,min,max,indep_age
30,4,43.0,7.164728420068224,35,50,46.53658537
26,4,43.25,25.11805459558257,17,75,26.9
41,4,43.25,15.861378670636842,31,66,37.97435897
18,4,44.5,19.739976359323904,27,70,26.1
6,8,45.75,19.521050908478994,23,68,43.59090909
58,4,46.0,20.960279896349988,24,74,34.61904762
17,4,48.0,14.023789311975086,30,64,23.23076923
46,4,49.25,17.05627939108253,34,65,23.86363636
158,4,50.75,10.04572877727976,42,65,50.05263158
15,8,51.25,13.133925536563698,34,71,21.475
44,4,51.25,16.740669042783207,35,71,23.79545455
31,4,51.5,11.958260743101398,38,67,59.26666667
28,4,52.25,13.598406769422171,40,65,29.43902439
101,4,53.25,21.884164746836163,25,75,47.93181818
39,4,53.75,8.460693430998038,43,63,36.61363636
79,8,53.875,23.129680993414997,14,87,56.17142857
27,4,55.25,13.149778198382917,36,65,35.81578947
7,8,55.625,7.707834604200733,43,67,30.07317073
4,8,55.625,14.589012499627442,37,73,24.77777778
29,4,56.0,13.9522996909709,40,74,32.86666667
5,8,56.25,16.917868828971503,29,86,44.53488372
36,4,56.5,7.047458170621991,48,65,41.55813953
11,4,56.5,15.329709716755891,36,72,40.57142857
13,4,57.25,16.520189667999176,41,76,46.04761905
22,4,57.75,12.60621539823379,48,76,38.21428571
427,4,58.0,37.86819245752297,9,93,66.18421053
56,4,58.25,13.647344063956181,39,71,31.3902439
2,8,58.375,16.94476320283054,40,85,31.3
21,4,58.5,16.217274740226856,37,72,27.64102564
193,4,59.0,11.04536101718726,50,75,53.44444444
70,4,60.5,7.852812659593164,49,66,52.20930233
45,4,60.5,13.076696830622021,50,77,31.85365854
25,4,60.75,19.93949180228356,31,73,44.79545455
72,4,62.25,8.99536917900909,51,73,43.13953488
23,4,63.0,26.166135875720485,26,82,42.47727273
95,4,63.75,10.53169818531972,53,78,65.02439024
20,4,63.75,13.375973484822204,52,83,25.75
10,4,65.0,4.8304589153964805,61,72,47.27272727
32,4,65.0,3.265986323710904,61,69,28.41860465
278,4,65.25,21.219095173922945,43,88,51.91891892
24,8,65.375,9.530964574180606,48,74,67.22727273
35,4,65.5,12.013880860626731,50,78,40.81395349
19,4,65.75,11.146748404803978,58,82,24.89130435
304,4,65.75,17.211914478058507,49,88,61.21621622
9,8,67.5,21.20646801601544,38,94,60.56818182
90,4,68.25,13.81725973797506,55,86,59.04347826
3,4,69.0,10.230672835481872,55,78,51.74509804
385,4,70.5,14.730919862656235,60,92,64.24390244
42,4,71.0,8.04155872120988,66,83,33.2826087
14,4,71.25,9.069178573608529,60,80,31.19047619
147,4,71.5,9.574271077563381,63,85,60.63888889
83,4,72.25,12.971121771072848,60,90,58.0
65,4,72.25,11.557825631723873,60,86,60.26829268
102,4,72.75,12.816005617976296,61,91,62.04651163
48,4,72.75,8.180260794538684,65,84,51.87234043
1,8,73.0,9.98570406702931,62,88,50.40425532
116,4,76.0,10.677078252031311,64,90,58.88571429
149,4,78.25,8.770214744615247,71,91,65.26190476
123,4,81.0,12.027745701779143,70,95,62.51351351
78,4,81.25,7.135591542869215,75,91,65.80555556
