4	24.77777778
15	21.475
17	23.23076923
18	26.1
19	24.89130435
20	25.75
21	27.64102564
26	26.9
28	29.43902439
32	28.41860465
44	23.79545455
46	23.86363636
2	31.3
7	30.07317073
14	31.19047619
22	38.21428571
27	35.81578947
29	32.86666667
39	36.61363636
41	37.97435897
42	33.2826087
56	31.3902439
45	31.85365854
58	34.61904762
5	44.53488372
6	43.59090909
10	47.27272727
11	40.57142857
13	46.04761905
23	42.47727273
25	44.79545455
30	46.53658537
35	40.81395349
36	41.55813953
101	47.93181818
72	43.13953488
1	50.40425532
3	51.74509804
31	59.26666667
48	51.87234043
70	52.20930233
79	56.17142857
83	58
90	59.04347826
158	50.05263158
193	53.44444444
116	58.88571429
278	51.91891892
9	60.56818182
385	64.24390244
24	67.22727273
65	60.26829268
78	65.80555556
427	66.18421053
95	65.02439024
102	62.04651163
123	62.51351351
147	60.63888889
149	65.26190476
304	61.21621622
4	24.77777778
15	21.475
2	31.3
7	30.07317073
5	44.53488372
6	43.59090909
1	50.40425532
79	56.17142857
9	60.56818182
24	67.22727273
