participant_id,n_trials,pearson_r,pearson_p,spearman_rho,spearman_p,slope_rating_per_year,intercept
7,70,0.17815047565467756,0.1400761068065618,0.26344316622391967,0.027558075755556192,0.2257891925638486,48.12095412233456
8,70,0.5701872457005006,2.5695304969625195e-07,0.5811763637297985,1.3266007224344425e-07,0.6197470146306393,28.95932933425791
9,70,0.2234780309962631,0.06293075509794319,0.18882929912588733,0.11745798811659462,0.1771625210571597,47.27820534740295
10,70,0.4387556860168958,0.00014506746045099837,0.45312379183344065,8.184067875749714e-05,0.46956143197197325,51.19225691487105
ALL_TRIALS,280,0.3185809715904305,5.045953210106647e-08,0.3305093044251818,1.4638026690541887e-08,,
FACE_LEVEL_MEAN,60,0.5634224774562326,2.7740250162275835e-06,0.5574267109526642,3.7216112483468145e-06,,
