all_response_times,all_responses,anon_id,assignmentId,browser_events,completion_code,condition,debug_mode,end_time,experiment_name,experiment_phase,hitId,initial_response,initial_response_time,ip_address,outsideTurk,platform,previewMode,redirect_url,refresh_count,response,rt,seed,start_time,stimulus,time_elapsed,total_time,trial_index,trial_type,turkSubmitTo,version_date,workerId,worker_info
[1155],[48],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,48,1155,"""127.0.0.1""",False,turk,False,,6,48,1832,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/1.jpg,55941,72739,5,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[1104],[49],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,49,1104,"""127.0.0.1""",False,turk,False,,6,49,1626,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/2.jpg,57670,72739,6,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[749],[48],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,48,749,"""127.0.0.1""",False,turk,False,,6,48,1212,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/3.jpg,58986,72739,7,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[817],[49],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,49,817,"""127.0.0.1""",False,turk,False,,6,49,1295,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/4.jpg,60383,72739,8,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[786],[49],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,49,786,"""127.0.0.1""",False,turk,False,,6,49,1287,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/5.jpg,61772,72739,9,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[749],[49],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,49,749,"""127.0.0.1""",False,turk,False,,6,49,1361,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/6.jpg,63237,72739,10,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[791],[47],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,47,791,"""127.0.0.1""",False,turk,False,,6,47,1370,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/7.jpg,64710,72739,11,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[1188],[48],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,48,1188,"""127.0.0.1""",False,turk,False,,6,48,1634,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/8.jpg,66446,72739,12,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
[850],[48],oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,48,850,"""127.0.0.1""",False,turk,False,,6,48,1404,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/9.jpg,67953,72739,13,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
"[738, 749]","[50, 50]",oyl14n3onv7xwhj,test,[],8742167558-exa-3364916987-mple,emotional,False,2026-03-02T02:13:50Z,example_experiment,main,test,50,738,"""127.0.0.1""",False,turk,False,,6,50,1458,1772417556567,2026-03-02T02:12:36Z,src/images/jpg/10.jpg,69515,72739,14,image-slider-response,,2023-10-21,test,"{""assignmentId"": ""test"", ""hitId"": ""test"", ""workerId"": ""test"", ""turkSubmitTo"": """", ""previewMode"": false, ""outsideTurk"": false, ""platform"": ""turk""}"
